Source Node,Message,Delivered Node
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,8
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,8
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,3
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,9
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
